agent_name,agent_office
Pat Shannon,Long & Foster Arlington
Roxanne Southern,Samson Properties
James Mcmullin,"Mcmullin Real Estate, Llc"
Tom Francis,Keller Williams Realty
Tom Francis,Keller Williams Realty
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc
Derek Huetinck,Beacon Crest Real Estate Llc
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc
Steven Watson,"Pearson Smith Realty, Llc"
Afrouz Homayouni,Compass
Kristin Francis,Keller Williams Capital Properties
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc
Heba Diab,Keller Williams Realty
Heidi Ellenberger Jones,"Modern Jones, Llc"
Keri Shull,Optime Realty
James Mcmullin,"Mcmullin Real Estate, Llc"
Tom Francis,Keller Williams Realty
Sarah And Debbie Reynolds,Keller Williams Chantilly Ventures Llc
Tom Francis,Keller Williams Realty
Aaron Seekford,"Arlington Realty, Inc."
Nancy Balchunas,Northern Virginia Residential Management & Sales
William Groom,Buchanan & Groom Real Estate And Investment
Dennis Mahafkey Lauren Fairbanks,Keller Williams Realty
Darian Cochran,"Avenue Realty, Llc."
Patricia Darneille,Century 21 New Millennium
Sarah Webster,"Mcenearney Associates, Inc."
Diane Lewis,Washingtonfineproperties
Susan Leavitt,Compass
Roxanne Southern,Samson Properties
Roxanne Southern,Samson Properties
Breshkie Gardizi,Keller Williams Realty - Metro Center - Alexandria Old Town
Rebecca Seekford,"Arlington Realty, Inc."
Garnett Robins Baughman,Coldwell Banker Realty - Arlington
Kim Le,"Pearson Smith Realty, Llc"
David Moya,Keller Williams Realty
Laurie Mensing Agent,Long & Foster Mclean
Lisa Tucker,Redfin Corp
Keri Shull,Optime Realty
Ava Nguyen,"Westgate Realty Group, Inc."
Katie Wethman,Keller Williams Realty
Patrick Morris,Compass
Melanie Hogg,Century 21 Redwood Realty
Ray Gernhart,Re/Max Executives
Alex Hodges,Cottage Street Realty Llc
Benjamin Chip,Long & Foster Arlington
Diane Duston,Keller Williams Realty
Kay Houghton,Keller Williams Realty
Rebecca Mc Cullough,"Mcenearney Associates, Inc."
Shoshanna Tanner,Compass
Annemarie Stephens,Coldwell Banker Realty - Capitol Hill
David Moya,Keller Williams Realty
Christina Baheri,Coldwell Banker Realty - Dupont / Logan Circle
Holly Brock Amaya,"Howard Brock Realty Company, Inc."
Khalil Alexander El Ghoul,Glass House Real Estate
Katie Wethman,Keller Williams Realty
Guy Golan,Redfin Corporation
Gigi Dunlap,Samson Properties
Elizabeth Lucchesi,Long & Foster Alex/Old Town Historic District
Tom Sklopan,Century 21 Accent Homes
Jason Curry,Keller Williams Realty
George Cranwell,"G.E. Cranwell & Assoc., Ltd."
Robin Bergman,Arlington Premier Realty
Shawn Battle,Century 21 Redwood Realty
Ray Gernhart,Re/Max Executives
Torialai Bahadery,Fairfax Realty Of Tysons 
Jeffrey Beall,"Re/Max Distinctive Real Estate, Inc."
David Lloyd,"Weichert, Realtors - Arlington"
Carol Temple,Coldwell Banker Realty - Arlington
The Tom Team,Samson Properties
Renee Greenwell,Keller Williams Realty
Brenda Cox,"Fortney Fine Properties, Llc"
Nancy Poe,Long & Foster Woodbridge/Prince William Parkway
Kay Houghton,Keller Williams Realty
Erin K Jones,Keller Williams Realty - Metro Center - Alexandria Old Town
Margaret Ross,Keller Williams Realty
Ruth Boyer Odea,Ttr Sotheby'S International Realty
Eric Solomon,Compass
Kris Walker,Kw United
Faye Campbell,"Beltway Realty, Llc."
Paul Sneeringer,Keller Williams Chantilly Ventures Llc
Lisa Smith,"Mcenearney Associates, Inc."
Natalie Roy,Keller Williams Realty
Roger Sombat,Fairfax Realty Select 
Anthony Quiroz Olivares,Home Smart
Kevin King,Keller Williams Realty
Kathryn Chmura,Berkshire Hathaway Homeservices Penfed Realty
Tonya Mc Kee Finlay,"Neighborhood Real Estate, Llc."
Linda Mejia,Re/Max Allegiance- Franconia
Richard Tsai,Fairfax Realty Of Tysons 
Lisa Koch,"Weichert, Realtors - Arlington"
Scott Shelton,L S Shelton & Company
Jason Kangal,Kangal Real Estate
Anne Martone,"Mcenearney Associates, Inc."
Joel Miller,"Mcenearney Associates, Inc."
Sean Ragen,Kw United
Brian Logan,Brian Logan Real Estate
Kathleen Modolo,Century 21 New Millennium
Martha Floyd,"Mcenearney Associates, Inc."
Souri Johnson,Coldwell Banker Realty - Reston
Will Bowers,Allison James Estates & Homes
Jason Skipworth,Dc Living Real Estate Llc
Michelle Sagatov,Washington Fine Properties
Matthew Leighton,Century 21 Redwood Realty
Mohammed Khan,Samson Properties
Natalie Vaughan Realty,Compass
Susan Hand,Compass
Bud Boulineaux,Re/Max Premier
Jonathan Fox,Compass
James Wilson,"Gateway Properties, Inc."
Alasgar Farhadov,Compass
Katrina Schymik,Compass
Sandy H Mc Conville,"Weichert, Realtors - Alexandria Old Town"
Marcella Oakley,"Re/Max Distinctive Real Estate, Inc."
Roy Kohn,Redfin Corporation
Marcia Burgos,Redfin Corporation
David Lloyd,"Weichert, Realtors - Arlington"
Mara Gemond,Redfin Corporation
Anslie Stokes,"Mcenearney Associates, Inc."
The Tom Team,Samson Properties
Aaron Seekford,"Arlington Realty, Inc."
Pat Flynn,Keller Williams Realty
Philip Guire,Compass
John Eric,Compass
Tyler Beale,Compass
Eli Tucker,Rlah Real Estate
Avi Ron,Ssg Real Estate Llc
Shawn Battle,Century 21 Redwood Realty
Joseph Dao,Redfin Corporation
Christine Fischer,"Mcenearney Associates, Inc."
Monique Craft Crew,"Weichert, Realtors - Burke Fairfax Station"
Jay Noh,Samson Properties
Marcia Burgos,Redfin Corporation
Leigh Adams Slaughter,Compass
Jennifer Mack,"Pearson Smith Realty, Llc"
Karen Close,Century 21 New Millennium
Arshia Kia,Keller Williams Realty
Archie Bartley,Bni Realty
Bartley Reynolds,"City & Suburban Homes Co., Inc"
Richard Villegas,Vibo Realty & Management Llc
Derek Huetinck,Beacon Crest Real Estate Llc
Juliet Flory,Long & Foster Arlington
John Gill,H.A. Gill & Son
Craig Mastrangelo,Compass
Heather Carlson,Re/Max Allegiance- Franconia
Alex Ortega,Coldwell Banker Realty - Dupont / Logan Circle
Billy Buck,"William G. Buck & Assoc., Inc."
Laurie Mensing Agent,Long & Foster Mclean
Natalie Roy,Keller Williams Realty
George Cranwell,"G.E. Cranwell & Assoc., Ltd."
Michael Roschke,Keller Williams Realty
Bruce Tanya And,Re/Max Executives
Kim Nguyen,Fairfax Realty Of Tysons 
Frank Schofield,Summit Realtors
Christine Morgan,Ttr Sotheby'S International Realty
John Mentis,Long & Foster Arlington
Jeffrey Beall,"Re/Max Distinctive Real Estate, Inc."
Melanie Hogg,Century 21 Redwood Realty
Martine Micozzi,Berkshire Hathaway Homeservices Penfed Realty
Eric Stewart,Long & Foster Mclean
Khalil Alexander El Ghoul,Glass House Real Estate
Melissa Rosario,"Mcenearney Associates, Inc."
Genevieve Concannon,Exp Realty
Veronica Seva Gonzalez,Compass
Scott Sachs,Compass
Emily Miller,Century 21 Redwood Realty
Barak Sky,Long & Foster Bethesda
Mara Gemond,Redfin Corporation
Emily Palmieri,Long & Foster Bethesda All Points
Bob Johnson,"Mcenearney Associates, Inc."
Angela Allison,Houwzer Salaried Realtors
Karrina Taylor Brown,Keller Williams Realty
Kristen Hopkins,Long & Foster Mclean
Amy Faulconer,"Pearson Smith Realty, Llc"
Carolyn Zok,Exit Realty Associates
Steven Watson,"Pearson Smith Realty, Llc"
Steven Watson,"Pearson Smith Realty, Llc"
Maggie Li,Samson Properties
Jd Callander,"Weichert, Realtors - Mclean"
Kevin King,Keller Williams Realty
Khalil Alexander El Ghoul,Glass House Real Estate
Suda Pethe,Fairfax Realty Select 
Sita Kapur,Arlington Premier Realty
Mark Lowham,Ttr Sotheby'S International Realty
Patricia Ammann,Redfin Corporation
Candee Currie,Redfin Corporation
Claudia Bennett,Nexthome Capital City Realty
Laura Mc Clanahan,Re/Max Allegiance- Mclean
Aerica Kennedy,Re/Max Allegiance Capitol Hill
Eric Purvis,Purvis Property Mangement Inc
Betsy Twigg,"Mcenearney Associates, Inc."
Tom Francis,Keller Williams Realty
Reginald Francois,Property Specialists Realty
Keri Shull,Optime Realty
Michael Irvin,Re/Max Real Estate Connections
Natalie Salinas Hill,"Condo 1, Inc."
Nizar Baaguig,"Spring Hill Real Estate, Llc."
Sam Medvene,Century 21 Redwood Realty
Lynn Kern,Ttr Sotheby'S International Realty
Bernard Mizelle,Mid-Atlantic Realty
Sue Hur,Coldwell Banker Realty
Mitch Curtis,Keller Williams Realty
Marcella Oakley,"Re/Max Distinctive Real Estate, Inc."
Paul Sliwka,"Central Properties, Llc"
Rick Bosl With The Bosl Group,Keller Williams Realty
Mariam Jalali,Bni Realty
Zohreh Pajoohi,Fairfax Realty Of Tysons 
George Lodge,Coldwell Banker Realty - Reston
Jennifer Thornett,Washingtonfineproperties
Nicholas Dorcon,Compass
Ken Tully,Re/Max Allegiance- Mclean
Karen Freije And Nan Brent,Long & Foster Arlington
Khanh Nguyen,Usa One Realty Corporation
Patricia Darneille,Century 21 New Millennium
Tolga Alper,Keller Williams Realty
John C Lafley,2020 Realty
Elizabeth Crawford,Century 21 Redwood Realty
Jonathan Taylor,Ttr Sotheby'S International Realty
Candee Currie,Redfin Corporation
Joan Bready,"Mcenearney Associates, Inc."
Alexander Hollyer,Kw Metro Center
Julie Pearson,"Mcenearney Associates, Inc."
Katie Loughney,Compass
Keri Shull,Optime Realty
Phuong Mai Nguyen,Fairfax Realty Select 
