agent_name,agent_office,property_ID,Listing_ID,price,baths_half,baths_full,baths,beds,size_in_sqft,lot_size_in_sqft,prop_type,prop_sub_type,city,Line,postal_code,lat,lon,neighborhood_name,Listing_Url,thumbnail
Norman Domingo,Xrealty.Net Llc,M5052059120,2922980089,469000,NA,1,1,1.0,880,NA,condo,condos,Arlington,1600 N Oak St Apt 511,22209,38.8932,-77.07378,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1600-N-Oak-St-Apt-511_Arlington_VA_22209_M50520-59120,https://ap.rdcpix.com/638e8d5d4eb0e2304a13b2f7f7283124l-m2178952590x.jpg
Anthony Cammarota,"Re/Max Distinctive Real Estate, Inc.",M6811690770,2922977178,1150000,1,3,4,4.0,3198,3102,condo,townhomes,Arlington,1335 N Lynnbrook Dr,22201,38.888284,-77.102287,Ballston - Virginia Square,https://www.realtor.com/realestateandhomes-detail/1335-N-Lynnbrook-Dr_Arlington_VA_22201_M68116-90770,https://ap.rdcpix.com/04528a71b9e5131fdf3341309ee1fe7fl-m510295769x.jpg
BUD BOULINEAUX,RE/MAX Premier,M6631941538,2922975760,449900,NA,1,1,1.0,716,NA,condo,condos,Arlington,1800 Wilson Blvd Unit 305,22201,38.89342,-77.0791,Radnor - Fort Myer Heights,https://www.realtor.com/realestateandhomes-detail/1800-Wilson-Blvd-Unit-305_Arlington_VA_22201_M66319-41538,https://ap.rdcpix.com/d3297423d1a398522fabb95f7ba1b483l-m3881939071x.jpg
Kay Houghton,Keller Williams Realty,M6867202503,2922972764,349900,NA,1,1,1.0,1008,NA,condo,condos,Arlington,3046 S Abingdon St Apt C1,22206,38.837887,-77.097554,Fairlington,https://www.realtor.com/realestateandhomes-detail/3046-S-Abingdon-St-Apt-C1_Arlington_VA_22206_M68672-02503,https://ap.rdcpix.com/793fc2e548916f72bebb6da93dc0ae50l-m2714680656x.jpg
Timothy Brewster,"Weichert, Realtors - Front Royal",M6244644669,2922971738,600000,NA,2,2,2.0,1500,NA,condo,townhomes,Arlington,3227 S Utah St,22206,38.83659,-77.08792,Fairlington,https://www.realtor.com/realestateandhomes-detail/3227-S-Utah-St_Arlington_VA_22206_M62446-44669,https://ap.rdcpix.com/c3988da3d242ff89fc43c8345765ae8dl-m3630771123x.jpg
Jean Matich,CENTURY 21 New Millennium,M5487713366,2922967513,699000,NA,2,2,3.0,1834,3266,condo,duplex_triplex,Arlington,6947 N Four Mile Run Dr,22213,38.888828,-77.166514,East Falls Church,https://www.realtor.com/realestateandhomes-detail/6947-N-Four-Mile-Run-Dr_Arlington_VA_22213_M54877-13366,https://ap.rdcpix.com/8755e20b9e788016e32468ce7f5680a6l-m2831442035x.jpg
Jean Matich,CENTURY 21 New Millennium,M9099842409,2922967548,699000,NA,2,2,3.0,1834,3266,condo,duplex_triplex,Falls Church,6947 N Four Mile Run Dr,22046,38.888828,-77.166513,East Falls Church,https://www.realtor.com/realestateandhomes-detail/6947-N-Four-Mile-Run-Dr_Falls-Church_VA_22046_M90998-42409,https://ap.rdcpix.com/5d73ffbcf44cb1131a93096b93f54a5cl-m2831442035x.jpg
Daniel Pierson,"McEnearney Associates, Inc.",M5550342038,2922964345,425000,NA,1,1,1.0,612,NA,condo,condos,Arlington,2536 Fairfax Dr Unit 2A,22201,38.88782,-77.08917,North Arlington,https://www.realtor.com/realestateandhomes-detail/2536-Fairfax-Dr-A2_Arlington_VA_22201_M55503-42038,https://ap.rdcpix.com/e713f217f9cd7307e8126bba80945926l-m2246220672x.jpg
Cathy Baumbusch,Re/Max Executives,M5237116349,2922957649,869000,NA,2,2,4.0,1348,6370,single_family,NA,Arlington,2000 N Woodstock St,22207,38.894828,-77.119909,Waverly Hills,https://www.realtor.com/realestateandhomes-detail/2000-N-Woodstock-St_Arlington_VA_22207_M52371-16349,https://ap.rdcpix.com/872dcd1849b106f685db8f0b1f000f84l-m1290890812x.jpg
JIM FOX,Long & Foster Burke/Fairfax Station/Clifton,M6989640720,2922963684,152839,NA,1,1,0.0,546,NA,condo,condos,Arlington,4600 S Four Mile Run Dr Apt 839,22204,38.854823,-77.108139,Columbia Forest,https://www.realtor.com/realestateandhomes-detail/4600-S-Four-Mile-Run-Dr-Apt-839_Arlington_VA_22204_M69896-40720,https://ap.rdcpix.com/fec24d9726a57a7adf12aba555acc865l-m510627950x.jpg
